;geneve-la-praille;val-ombre;geneve-aeroport;nyon;gland;aubonne;tolochenaz-morges;leman;aclens;daillens;chavorney;yverdon;payerne;avanches;broye;kerzers;lyss-ort;solothurn-zuchwil;niederbipp;neuendorf;harkingen;rickenbach-wangen;dulliken-sud;suhr;schafisheim;heitersberg;urdorf;zurich-aussersihl;zurich-nord;zurich-flughafen;aegert;winterthur;winterthur-hegi;frauenfeld;wil;uzwil-oberburen;gossaucst;st.-gallen-st.-fiden;oftringen-zofingen;dagmersellen;sursee;rothenburg;emmenbrucke;luzern-allmend;dulliken;sissach;liestal;mayenfels;basel-wolf;basel-gateway-nord;lyss;biel/bienne;pratteln-west;limmatstadt;wangen-dubendorf;schonbuhl;bern;bern-wankdorf;muri-gumligen;munsingen;heimberg-steffisburg;gwatt;bern-weyermannshaus;fribourg;crissier;lausanne-malley;zimeysa-meyrin
geneve-la-praille;;5.3;7.9;25.7;30.7;43.5;50.6;59.6;61.2;68.9;78.3;86.5;110.8;123.5;136.6;150.7;167.1;190.6;204.6;212.4;214.4;218.92;225.61;237.98;241.77;259.68;266.28;273.38;279.88;286.38;289.08;303.78;306.88;320.38;336.98;347.98;360.48;369.38;230.21;242.21;252.61;267.51;270.81;275.01;227.11;244.31;251.31;255.37;263.02;269.02;168.9;177.55;256.67;261.78;291.18;182.1;188.1;193.05;198.53;207.11;218.11;227.45;193.1;154.6;62.6;66.65;7.7
val-ombre;5.3;;2.6;20.4;25.4;38.2;45.3;54.3;55.9;63.6;73;81.2;105.5;118.2;131.3;145.4;161.8;185.3;199.3;207.1;209.1;213.62;220.31;232.68;236.47;254.38;260.98;268.08;274.58;281.08;283.78;298.48;301.58;315.08;331.68;342.68;355.18;364.08;224.91;236.91;247.31;262.21;265.51;269.71;221.81;239.01;246.01;250.07;257.72;263.72;163.6;172.25;251.37;256.48;285.88;176.8;182.8;187.75;193.23;201.81;212.81;222.15;187.8;149.3;57.3;61.35;2.4
geneve-aeroport;7.9;2.6;;17.8;22.8;35.6;42.7;51.7;53.3;61;70.4;78.6;102.9;115.6;128.7;142.8;159.2;182.7;196.7;204.5;206.5;211.02;217.71;230.08;233.87;251.78;258.38;265.48;271.98;278.48;281.18;295.88;298.98;312.48;329.08;340.08;352.58;361.48;222.31;234.31;244.71;259.61;262.91;267.11;219.21;236.41;243.41;247.47;255.12;261.12;161;169.65;248.77;253.88;283.28;174.2;180.2;185.15;190.63;199.21;210.21;219.55;185.2;146.7;54.7;58.75;5
nyon;25.7;20.4;17.8;;5;17.8;24.9;33.9;35.5;43.2;52.6;60.8;85.1;97.8;110.9;125;141.4;164.9;178.9;186.7;188.7;193.22;199.91;212.28;216.07;233.98;240.58;247.68;254.18;260.68;263.38;278.08;281.18;294.68;311.28;322.28;334.78;343.68;204.51;216.51;226.91;241.81;245.11;249.31;201.41;218.61;225.61;229.67;237.32;243.32;143.2;151.85;230.97;236.08;265.48;156.4;162.4;167.35;172.83;181.41;192.41;201.75;167.4;128.9;36.9;40.95;22.8
gland;30.7;25.4;22.8;5;;12.8;19.9;28.9;30.5;38.2;47.6;55.8;80.1;92.8;105.9;120;136.4;159.9;173.9;181.7;183.7;188.22;194.91;207.28;211.07;228.98;235.58;242.68;249.18;255.68;258.38;273.08;276.18;289.68;306.28;317.28;329.78;338.68;199.51;211.51;221.91;236.81;240.11;244.31;196.41;213.61;220.61;224.67;232.32;238.32;138.2;146.85;225.97;231.08;260.48;151.4;157.4;162.35;167.83;176.41;187.41;196.75;162.4;123.9;31.9;35.95;27.8
aubonne;43.5;38.2;35.6;17.8;12.8;;7.1;16.1;17.7;25.4;34.8;43;67.3;80;93.1;107.2;123.6;147.1;161.1;168.9;170.9;175.42;182.11;194.48;198.27;216.18;222.78;229.88;236.38;242.88;245.58;260.28;263.38;276.88;293.48;304.48;316.98;325.88;186.71;198.71;209.11;224.01;227.31;231.51;183.61;200.81;207.81;211.87;219.52;225.52;125.4;134.05;213.17;218.28;247.68;138.6;144.6;149.55;155.03;163.61;174.61;183.95;149.6;111.1;19.1;23.15;40.6
tolochenaz-morges;50.6;45.3;42.7;24.9;19.9;7.1;;9;10.6;18.3;27.7;35.9;60.2;72.9;86;100.1;116.5;140;154;161.8;163.8;168.32;175.01;187.38;191.17;209.08;215.68;222.78;229.28;235.78;238.48;253.18;256.28;269.78;286.38;297.38;309.88;318.78;179.61;191.61;202.01;216.91;220.21;224.41;176.51;193.71;200.71;204.77;212.42;218.42;118.3;126.95;206.07;211.18;240.58;131.5;137.5;142.45;147.93;156.51;167.51;176.85;142.5;104;12;16.05;47.7
leman;59.6;54.3;51.7;33.9;28.9;16.1;9;;1.6;9.3;18.7;26.9;51.2;63.9;77;91.1;107.5;131;145;152.8;154.8;159.32;166.01;178.38;182.17;200.08;206.68;213.78;220.28;226.78;229.48;244.18;247.28;260.78;277.38;288.38;300.88;309.78;170.61;182.61;193.01;207.91;211.21;215.41;167.51;184.71;191.71;195.77;203.42;209.42;109.3;117.95;197.07;202.18;231.58;122.5;128.5;133.45;138.93;147.51;158.51;167.85;133.5;95;3;7.05;56.7
aclens;61.2;55.9;53.3;35.5;30.5;17.7;10.6;1.6;;7.7;17.1;25.3;49.6;62.3;75.4;89.5;105.9;129.4;143.4;151.2;153.2;157.72;164.41;176.78;180.57;198.48;205.08;212.18;218.68;225.18;227.88;242.58;245.68;259.18;275.78;286.78;299.28;308.18;169.01;181.01;191.41;206.31;209.61;213.81;165.91;183.11;190.11;194.17;201.82;207.82;107.7;116.35;195.47;200.58;229.98;120.9;126.9;131.85;137.33;145.91;156.91;166.25;131.9;93.4;4.6;8.65;58.3
daillens;68.9;63.6;61;43.2;38.2;25.4;18.3;9.3;7.7;;9.4;17.6;41.9;54.6;67.7;81.8;98.2;121.7;135.7;143.5;145.5;150.02;156.71;169.08;172.87;190.78;197.38;204.48;210.98;217.48;220.18;234.88;237.98;251.48;268.08;279.08;291.58;300.48;161.31;173.31;183.71;198.61;201.91;206.11;158.21;175.41;182.41;186.47;194.12;200.12;100;108.65;187.77;192.88;222.28;113.2;119.2;124.15;129.63;138.21;149.21;158.55;124.2;85.7;12.3;16.35;66
chavorney;78.3;73;70.4;52.6;47.6;34.8;27.7;18.7;17.1;9.4;;8.2;32.5;45.2;58.3;72.4;88.8;112.3;126.3;134.1;136.1;140.62;147.31;159.68;163.47;181.38;187.98;195.08;201.58;208.08;210.78;225.48;228.58;242.08;258.68;269.68;282.18;291.08;151.91;163.91;174.31;189.21;192.51;196.71;148.81;166.01;173.01;177.07;184.72;190.72;90.6;99.25;178.37;183.48;212.88;103.8;109.8;114.75;120.23;128.81;139.81;149.15;114.8;76.3;21.7;25.75;75.4
yverdon;86.5;81.2;78.6;60.8;55.8;43;35.9;26.9;25.3;17.6;8.2;;24.3;37;50.1;64.2;80.6;104.1;118.1;125.9;127.9;132.42;139.11;151.48;155.27;173.18;179.78;186.88;193.38;199.88;202.58;217.28;220.38;233.88;250.48;261.48;273.98;282.88;143.71;155.71;166.11;181.01;184.31;188.51;140.61;157.81;164.81;168.87;176.52;182.52;82.4;91.05;170.17;175.28;204.68;95.6;101.6;106.55;112.03;120.61;131.61;140.95;106.6;68.1;29.9;33.95;83.6
payerne;110.8;105.5;102.9;85.1;80.1;67.3;60.2;51.2;49.6;41.9;32.5;24.3;;12.7;25.8;39.9;56.3;79.8;93.8;101.6;103.6;108.12;114.81;127.18;130.97;148.88;155.48;162.58;169.08;175.58;178.28;192.98;196.08;209.58;226.18;237.18;249.68;258.58;119.41;131.41;141.81;156.71;160.01;164.21;116.31;133.51;140.51;144.57;152.22;158.22;58.1;66.75;145.87;150.98;180.38;71.3;77.3;82.25;87.73;96.31;107.31;116.65;82.3;43.8;54.2;58.25;107.9
